scenario,load,rep,seed,transport,emitted,accepted,persisted,loss_rate,lat_p50_ms,lat_p95_ms,lat_max_ms,click_of_sent,submit_of_click,elapsed_s
alto,1000,29,20290910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.2715,0.446,15.234
alto,10000,29,20299910,webhook,10000,10000,10000,0.0,4.0,25.0,34.0,0.2958,0.4657,150.788
baixo,10000,30,20300910,webhook,10000,10000,10000,0.0,4.0,25.0,53.0,0.1005,0.4891,148.145
baixo,1000,30,20291910,webhook,1000,1000,1000,0.0,4.0,24.0,30.0,0.0894,0.3793,13.415
baixo,100,30,20291010,webhook,100,100,100,0.0,5.0,27.05,31.0,0.0435,0.6667,1.811
base,10000,30,20300910,webhook,10000,10000,10000,0.0,4.0,25.0,51.0,0.1649,0.4718,157.47
base,1000,30,20291910,webhook,1000,1000,1000,0.0,4.0,26.0,34.0,0.1708,0.4369,16.442
base,100,30,20291010,webhook,100,100,100,0.0,4.0,24.05,28.0,0.1129,0.5714,1.437
alto,10000,30,20300910,webhook,10000,10000,10000,0.0,4.0,25.0,89.0,0.3079,0.4594,146.692
alto,1000,30,20291910,webhook,1000,1000,1000,0.0,4.0,25.0,32.0,0.3058,0.3851,14.85
alto,100,30,20291010,webhook,100,100,100,0.0,5.0,29.05,32.0,0.4286,0.5556,1.887
